Transaction ID,Product ID,Quantity Sold,Transaction Date,Product Name,Category,Price,Total Amount
88,6,3,2024-08-09,Banana,Produce,0.5,1.5
89,20,5,2023-10-24,Pizza,Frozen Foods,6.0,30.0
90,5,1,2024-01-18,Apple,Produce,0.75,0.75
91,8,4,2023-09-26,Chicken Breast,Meat,5.0,20.0
92,12,6,2024-03-03,Tomato,Produce,1.0,6.0
93,19,3,2023-08-23,Ice Cream,Frozen Foods,4.5,13.5
94,12,4,2023-11-24,Tomato,Produce,1.0,4.0
95,16,6,2024-03-06,Tea,Beverages,4.0,24.0
96,14,5,2023-12-27,Yogurt,Dairy,2.0,10.0
97,7,5,2023-08-19,Orange Juice,Beverages,3.0,15.0
98,3,2,2024-03-09,Bread,Bakery,1.5,3.0
99,1,7,2024-06-16,Milk,Dairy,3.5,24.5
100,10,3,2023-12-06,Salmon,Seafood,8.0,24.0
101,13,5,2024-03-02,Cereal,Snacks,3.75,18.75
102,12,5,2024-07-16,Tomato,Produce,1.0,5.0
103,7,2,2023-11-07,Orange Juice,Beverages,3.0,6.0
104,16,7,2024-05-06,Tea,Beverages,4.0,28.0
105,3,6,2023-12-19,Bread,Bakery,1.5,9.0
106,20,2,2023-09-28,Pizza,Frozen Foods,6.0,12.0
107,13,5,2023-10-04,Cereal,Snacks,3.75,18.75
108,7,3,2023-09-12,Orange Juice,Beverages,3.0,9.0
109,17,7,2024-04-26,Cookies,Snacks,2.5,17.5
110,16,3,2024-04-01,Tea,Beverages,4.0,12.0
111,20,2,2023-10-31,Pizza,Frozen Foods,6.0,12.0
112,17,8,2023-11-25,Cookies,Snacks,2.5,20.0
113,7,9,2024-07-19,Orange Juice,Beverages,3.0,27.0
114,6,2,2024-01-07,Banana,Produce,0.5,1.0
115,1,9,2024-02-16,Milk,Dairy,3.5,31.5
116,14,5,2023-11-03,Yogurt,Dairy,2.0,10.0
117,18,2,2023-12-23,Chocolate,Snacks,3.0,6.0
118,10,4,2023-11-25,Salmon,Seafood,8.0,32.0
119,14,6,2024-07-26,Yogurt,Dairy,2.0,12.0
120,15,9,2023-09-03,Coffee,Beverages,5.0,45.0
121,11,1,2023-11-13,Lettuce,Produce,1.25,1.25
122,20,6,2023-09-07,Pizza,Frozen Foods,6.0,36.0
123,5,3,2024-02-27,Apple,Produce,0.75,2.25
124,9,7,2023-09-23,Ground Beef,Meat,4.5,31.5
125,15,4,2024-01-08,Coffee,Beverages,5.0,20.0
126,7,5,2024-05-23,Orange Juice,Beverages,3.0,15.0
127,18,8,2023-11-11,Chocolate,Snacks,3.0,24.0
128,2,1,2024-08-01,Eggs,Dairy,2.5,2.5
129,2,5,2024-02-24,Eggs,Dairy,2.5,12.5
130,6,6,2023-11-23,Banana,Produce,0.5,3.0
131,12,5,2024-08-08,Tomato,Produce,1.0,5.0
132,3,9,2023-10-20,Bread,Bakery,1.5,13.5
133,16,5,2023-12-27,Tea,Beverages,4.0,20.0
134,16,3,2024-03-21,Tea,Beverages,4.0,12.0
135,6,6,2024-07-09,Banana,Produce,0.5,3.0
136,7,1,2023-11-21,Orange Juice,Beverages,3.0,3.0
137,7,1,2024-01-01,Orange Juice,Beverages,3.0,3.0
138,2,9,2024-03-05,Eggs,Dairy,2.5,22.5
139,2,2,2023-10-22,Eggs,Dairy,2.5,5.0
140,15,4,2023-12-28,Coffee,Beverages,5.0,20.0
141,10,2,2023-11-06,Salmon,Seafood,8.0,16.0
142,14,4,2024-04-21,Yogurt,Dairy,2.0,8.0
143,2,8,2024-01-23,Eggs,Dairy,2.5,20.0
144,11,3,2024-05-28,Lettuce,Produce,1.25,3.75
145,11,6,2024-06-11,Lettuce,Produce,1.25,7.5
146,10,2,2024-04-27,Salmon,Seafood,8.0,16.0
147,13,7,2024-05-23,Cereal,Snacks,3.75,26.25
148,20,1,2024-06-03,Pizza,Frozen Foods,6.0,6.0
149,2,9,2024-06-21,Eggs,Dairy,2.5,22.5
150,17,4,2023-09-23,Cookies,Snacks,2.5,10.0
151,10,8,2024-05-22,Salmon,Seafood,8.0,64.0
152,7,6,2024-04-08,Orange Juice,Beverages,3.0,18.0
153,17,2,2024-03-24,Cookies,Snacks,2.5,5.0
154,8,2,2023-11-23,Chicken Breast,Meat,5.0,10.0
155,17,7,2024-02-28,Cookies,Snacks,2.5,17.5
156,13,1,2024-07-04,Cereal,Snacks,3.75,3.75
157,11,9,2023-11-28,Lettuce,Produce,1.25,11.25
158,4,7,2024-07-26,Butter,Dairy,4.0,28.0
159,20,3,2023-09-24,Pizza,Frozen Foods,6.0,18.0
160,19,8,2023-09-04,Ice Cream,Frozen Foods,4.5,36.0
161,4,5,2024-07-01,Butter,Dairy,4.0,20.0
162,12,9,2024-07-25,Tomato,Produce,1.0,9.0
163,18,3,2024-04-15,Chocolate,Snacks,3.0,9.0
164,8,6,2024-03-11,Chicken Breast,Meat,5.0,30.0
165,1,4,2023-12-25,Milk,Dairy,3.5,14.0
166,2,6,2023-12-04,Eggs,Dairy,2.5,15.0
167,3,9,2024-05-03,Bread,Bakery,1.5,13.5
168,10,2,2023-12-12,Salmon,Seafood,8.0,16.0
169,10,8,2023-12-20,Salmon,Seafood,8.0,64.0
170,4,2,2023-10-28,Butter,Dairy,4.0,8.0
171,4,7,2024-05-08,Butter,Dairy,4.0,28.0
172,6,7,2023-10-03,Banana,Produce,0.5,3.5
173,9,9,2024-07-02,Ground Beef,Meat,4.5,40.5
174,9,3,2024-01-11,Ground Beef,Meat,4.5,13.5
175,1,9,2024-05-27,Milk,Dairy,3.5,31.5
176,15,5,2023-10-12,Coffee,Beverages,5.0,25.0
177,4,9,2024-04-02,Butter,Dairy,4.0,36.0
178,19,1,2023-09-09,Ice Cream,Frozen Foods,4.5,4.5
179,14,3,2024-06-03,Yogurt,Dairy,2.0,6.0
180,8,9,2024-07-02,Chicken Breast,Meat,5.0,45.0
181,5,7,2023-12-21,Apple,Produce,0.75,5.25
182,14,8,2024-04-11,Yogurt,Dairy,2.0,16.0
183,1,9,2024-05-01,Milk,Dairy,3.5,31.5
184,1,6,2024-05-22,Milk,Dairy,3.5,21.0
185,2,1,2024-02-14,Eggs,Dairy,2.5,2.5
186,12,2,2023-12-18,Tomato,Produce,1.0,2.0
187,4,9,2023-09-29,Butter,Dairy,4.0,36.0
188,9,9,2023-11-23,Ground Beef,Meat,4.5,40.5
189,4,7,2024-02-14,Butter,Dairy,4.0,28.0
190,17,9,2024-05-17,Cookies,Snacks,2.5,22.5
191,5,6,2023-12-25,Apple,Produce,0.75,4.5
192,16,9,2024-07-19,Tea,Beverages,4.0,36.0
193,15,9,2024-02-04,Coffee,Beverages,5.0,45.0
194,19,1,2024-05-25,Ice Cream,Frozen Foods,4.5,4.5
195,7,6,2024-03-18,Orange Juice,Beverages,3.0,18.0
196,9,5,2024-06-07,Ground Beef,Meat,4.5,22.5
197,15,6,2024-04-07,Coffee,Beverages,5.0,30.0
198,3,9,2023-10-01,Bread,Bakery,1.5,13.5
199,7,3,2024-01-05,Orange Juice,Beverages,3.0,9.0
200,17,1,2023-12-18,Cookies,Snacks,2.5,2.5
201,9,5,2024-07-05,Ground Beef,Meat,4.5,22.5
202,1,9,2024-03-05,Milk,Dairy,3.5,31.5
203,2,7,2024-04-14,Eggs,Dairy,2.5,17.5
204,16,8,2024-06-13,Tea,Beverages,4.0,32.0
205,6,5,2023-10-17,Banana,Produce,0.5,2.5
206,3,4,2024-03-14,Bread,Bakery,1.5,6.0
207,16,2,2024-03-06,Tea,Beverages,4.0,8.0
208,4,3,2024-06-17,Butter,Dairy,4.0,12.0
209,19,4,2024-08-17,Ice Cream,Frozen Foods,4.5,18.0
210,19,2,2023-11-01,Ice Cream,Frozen Foods,4.5,9.0
211,11,5,2023-10-30,Lettuce,Produce,1.25,6.25
212,10,3,2024-08-05,Salmon,Seafood,8.0,24.0
213,10,1,2024-01-06,Salmon,Seafood,8.0,8.0
214,12,1,2024-05-31,Tomato,Produce,1.0,1.0
215,12,4,2024-05-06,Tomato,Produce,1.0,4.0
216,6,3,2024-02-27,Banana,Produce,0.5,1.5
217,14,3,2023-08-19,Yogurt,Dairy,2.0,6.0
218,5,5,2024-05-23,Apple,Produce,0.75,3.75
219,1,4,2024-05-01,Milk,Dairy,3.5,14.0
220,7,6,2024-05-25,Orange Juice,Beverages,3.0,18.0
221,13,4,2024-03-16,Cereal,Snacks,3.75,15.0
222,15,3,2023-12-09,Coffee,Beverages,5.0,15.0
223,13,3,2024-07-18,Cereal,Snacks,3.75,11.25
224,1,5,2023-08-25,Milk,Dairy,3.5,17.5
225,5,6,2023-09-08,Apple,Produce,0.75,4.5
226,4,4,2024-08-03,Butter,Dairy,4.0,16.0
227,17,9,2023-08-22,Cookies,Snacks,2.5,22.5
228,10,2,2024-03-11,Salmon,Seafood,8.0,16.0
229,5,7,2023-09-12,Apple,Produce,0.75,5.25
230,5,8,2023-10-05,Apple,Produce,0.75,6.0
231,19,3,2024-07-04,Ice Cream,Frozen Foods,4.5,13.5
232,5,8,2024-07-17,Apple,Produce,0.75,6.0
233,14,4,2024-07-13,Yogurt,Dairy,2.0,8.0
234,15,2,2024-02-18,Coffee,Beverages,5.0,10.0
235,13,9,2024-05-18,Cereal,Snacks,3.75,33.75
236,13,7,2024-04-07,Cereal,Snacks,3.75,26.25
237,20,3,2024-01-07,Pizza,Frozen Foods,6.0,18.0
238,19,1,2023-09-06,Ice Cream,Frozen Foods,4.5,4.5
239,18,7,2024-02-03,Chocolate,Snacks,3.0,21.0
240,13,8,2023-10-22,Cereal,Snacks,3.75,30.0
241,1,9,2023-10-27,Milk,Dairy,3.5,31.5
242,12,4,2024-01-10,Tomato,Produce,1.0,4.0
243,19,3,2024-01-28,Ice Cream,Frozen Foods,4.5,13.5
244,3,2,2024-03-11,Bread,Bakery,1.5,3.0
245,20,5,2024-07-29,Pizza,Frozen Foods,6.0,30.0
246,10,6,2024-08-06,Salmon,Seafood,8.0,48.0
247,16,3,2024-02-04,Tea,Beverages,4.0,12.0
248,16,4,2024-06-23,Tea,Beverages,4.0,16.0
249,18,1,2023-10-17,Chocolate,Snacks,3.0,3.0
250,9,3,2023-09-03,Ground Beef,Meat,4.5,13.5
251,18,9,2024-06-16,Chocolate,Snacks,3.0,27.0
252,19,2,2024-05-06,Ice Cream,Frozen Foods,4.5,9.0
253,13,7,2023-11-15,Cereal,Snacks,3.75,26.25
254,15,7,2024-01-04,Coffee,Beverages,5.0,35.0
255,8,6,2024-02-01,Chicken Breast,Meat,5.0,30.0
256,2,5,2024-07-20,Eggs,Dairy,2.5,12.5
257,15,2,2024-05-17,Coffee,Beverages,5.0,10.0
258,7,3,2023-09-24,Orange Juice,Beverages,3.0,9.0
259,3,5,2023-11-25,Bread,Bakery,1.5,7.5
260,13,6,2023-12-28,Cereal,Snacks,3.75,22.5
261,2,8,2024-03-23,Eggs,Dairy,2.5,20.0
262,17,4,2023-09-26,Cookies,Snacks,2.5,10.0
263,12,6,2024-02-26,Tomato,Produce,1.0,6.0
264,8,6,2023-10-12,Chicken Breast,Meat,5.0,30.0
265,11,3,2024-04-18,Lettuce,Produce,1.25,3.75
266,2,8,2024-01-09,Eggs,Dairy,2.5,20.0
267,12,3,2024-01-16,Tomato,Produce,1.0,3.0
268,4,1,2024-03-10,Butter,Dairy,4.0,4.0
269,15,3,2023-10-06,Coffee,Beverages,5.0,15.0
270,1,4,2023-08-19,Milk,Dairy,3.5,14.0
271,13,1,2024-08-03,Cereal,Snacks,3.75,3.75
272,5,8,2023-10-09,Apple,Produce,0.75,6.0
273,7,4,2024-06-28,Orange Juice,Beverages,3.0,12.0
274,14,4,2024-04-04,Yogurt,Dairy,2.0,8.0
275,17,8,2024-07-29,Cookies,Snacks,2.5,20.0
276,9,9,2023-09-19,Ground Beef,Meat,4.5,40.5
277,17,1,2024-02-03,Cookies,Snacks,2.5,2.5
278,3,6,2024-04-07,Bread,Bakery,1.5,9.0
279,20,8,2023-12-14,Pizza,Frozen Foods,6.0,48.0
280,4,6,2024-01-20,Butter,Dairy,4.0,24.0
281,6,3,2023-11-14,Banana,Produce,0.5,1.5
282,15,1,2024-04-30,Coffee,Beverages,5.0,5.0
283,3,9,2024-08-01,Bread,Bakery,1.5,13.5
284,7,5,2024-05-11,Orange Juice,Beverages,3.0,15.0
285,15,5,2024-07-19,Coffee,Beverages,5.0,25.0
286,19,3,2024-04-08,Ice Cream,Frozen Foods,4.5,13.5
287,13,6,2024-07-19,Cereal,Snacks,3.75,22.5
288,16,5,2023-11-22,Tea,Beverages,4.0,20.0
289,4,9,2023-12-19,Butter,Dairy,4.0,36.0
290,4,6,2024-06-14,Butter,Dairy,4.0,24.0
291,17,4,2024-07-03,Cookies,Snacks,2.5,10.0
292,7,8,2024-03-28,Orange Juice,Beverages,3.0,24.0
293,12,3,2023-10-21,Tomato,Produce,1.0,3.0
294,1,1,2024-05-26,Milk,Dairy,3.5,3.5
295,2,3,2023-09-16,Eggs,Dairy,2.5,7.5
296,17,3,2024-07-23,Cookies,Snacks,2.5,7.5
297,16,7,2023-10-12,Tea,Beverages,4.0,28.0
298,8,9,2023-09-24,Chicken Breast,Meat,5.0,45.0
299,7,8,2024-02-28,Orange Juice,Beverages,3.0,24.0
300,16,7,2023-11-14,Tea,Beverages,4.0,28.0
301,4,6,2023-10-26,Butter,Dairy,4.0,24.0
302,11,7,2023-09-17,Lettuce,Produce,1.25,8.75
303,17,4,2024-03-17,Cookies,Snacks,2.5,10.0
304,9,7,2024-05-12,Ground Beef,Meat,4.5,31.5
305,9,3,2024-01-24,Ground Beef,Meat,4.5,13.5
306,5,5,2023-09-08,Apple,Produce,0.75,3.75
307,19,4,2023-10-14,Ice Cream,Frozen Foods,4.5,18.0
308,3,8,2023-09-11,Bread,Bakery,1.5,12.0
309,12,3,2023-12-14,Tomato,Produce,1.0,3.0
310,3,3,2023-10-02,Bread,Bakery,1.5,4.5
311,15,4,2024-02-20,Coffee,Beverages,5.0,20.0
312,7,1,2024-06-18,Orange Juice,Beverages,3.0,3.0
313,9,9,2024-06-23,Ground Beef,Meat,4.5,40.5
314,19,9,2024-04-24,Ice Cream,Frozen Foods,4.5,40.5
315,10,2,2023-10-31,Salmon,Seafood,8.0,16.0
316,2,2,2023-12-05,Eggs,Dairy,2.5,5.0
317,12,2,2023-12-06,Tomato,Produce,1.0,2.0
318,14,6,2024-06-28,Yogurt,Dairy,2.0,12.0
319,8,4,2024-05-08,Chicken Breast,Meat,5.0,20.0
320,16,1,2023-12-10,Tea,Beverages,4.0,4.0
321,1,7,2024-08-09,Milk,Dairy,3.5,24.5
322,1,9,2024-05-26,Milk,Dairy,3.5,31.5
323,8,7,2023-12-09,Chicken Breast,Meat,5.0,35.0
324,7,7,2024-02-08,Orange Juice,Beverages,3.0,21.0
325,3,8,2023-11-16,Bread,Bakery,1.5,12.0
326,13,3,2023-10-28,Cereal,Snacks,3.75,11.25
327,17,6,2023-08-30,Cookies,Snacks,2.5,15.0
328,16,5,2023-09-18,Tea,Beverages,4.0,20.0
329,17,2,2024-01-12,Cookies,Snacks,2.5,5.0
330,4,2,2024-07-30,Butter,Dairy,4.0,8.0
331,8,5,2023-12-29,Chicken Breast,Meat,5.0,25.0
332,13,8,2023-10-11,Cereal,Snacks,3.75,30.0
333,19,9,2023-09-21,Ice Cream,Frozen Foods,4.5,40.5
334,10,5,2023-12-31,Salmon,Seafood,8.0,40.0
335,13,6,2023-10-02,Cereal,Snacks,3.75,22.5
336,5,6,2024-03-09,Apple,Produce,0.75,4.5
337,19,3,2024-08-10,Ice Cream,Frozen Foods,4.5,13.5
338,11,1,2024-07-20,Lettuce,Produce,1.25,1.25
339,14,7,2024-05-21,Yogurt,Dairy,2.0,14.0
340,13,3,2023-09-26,Cereal,Snacks,3.75,11.25
341,10,4,2024-07-01,Salmon,Seafood,8.0,32.0
342,8,8,2023-11-23,Chicken Breast,Meat,5.0,40.0
343,18,4,2023-11-05,Chocolate,Snacks,3.0,12.0
344,9,1,2023-11-28,Ground Beef,Meat,4.5,4.5
345,2,2,2023-10-08,Eggs,Dairy,2.5,5.0
346,10,2,2024-04-01,Salmon,Seafood,8.0,16.0
347,5,2,2023-12-17,Apple,Produce,0.75,1.5
348,9,6,2024-03-13,Ground Beef,Meat,4.5,27.0
349,3,5,2023-12-01,Bread,Bakery,1.5,7.5
350,6,7,2024-05-27,Banana,Produce,0.5,3.5
351,20,8,2023-12-16,Pizza,Frozen Foods,6.0,48.0
352,14,3,2024-04-07,Yogurt,Dairy,2.0,6.0
353,9,6,2024-02-13,Ground Beef,Meat,4.5,27.0
354,16,8,2023-11-02,Tea,Beverages,4.0,32.0
355,15,1,2023-11-30,Coffee,Beverages,5.0,5.0
356,6,3,2023-09-03,Banana,Produce,0.5,1.5
357,3,4,2024-04-17,Bread,Bakery,1.5,6.0
358,1,3,2023-09-03,Milk,Dairy,3.5,10.5
359,9,1,2024-06-03,Ground Beef,Meat,4.5,4.5
360,14,5,2024-04-16,Yogurt,Dairy,2.0,10.0
361,18,4,2024-02-01,Chocolate,Snacks,3.0,12.0
362,9,7,2024-05-18,Ground Beef,Meat,4.5,31.5
363,19,2,2024-05-13,Ice Cream,Frozen Foods,4.5,9.0
364,10,4,2024-03-04,Salmon,Seafood,8.0,32.0
365,1,9,2023-10-12,Milk,Dairy,3.5,31.5
366,20,1,2023-11-05,Pizza,Frozen Foods,6.0,6.0
367,6,4,2024-02-12,Banana,Produce,0.5,2.0
368,14,8,2024-08-04,Yogurt,Dairy,2.0,16.0
369,16,8,2023-10-18,Tea,Beverages,4.0,32.0
370,14,7,2023-08-25,Yogurt,Dairy,2.0,14.0
371,16,8,2024-06-09,Tea,Beverages,4.0,32.0
372,13,6,2023-11-22,Cereal,Snacks,3.75,22.5
373,8,1,2024-07-31,Chicken Breast,Meat,5.0,5.0
374,5,6,2024-05-20,Apple,Produce,0.75,4.5
375,12,1,2023-12-29,Tomato,Produce,1.0,1.0
376,1,3,2024-03-25,Milk,Dairy,3.5,10.5
377,3,5,2023-09-03,Bread,Bakery,1.5,7.5
378,13,4,2023-08-22,Cereal,Snacks,3.75,15.0
379,11,5,2024-01-31,Lettuce,Produce,1.25,6.25
380,7,7,2023-12-17,Orange Juice,Beverages,3.0,21.0
381,12,9,2024-01-05,Tomato,Produce,1.0,9.0
382,10,6,2024-02-12,Salmon,Seafood,8.0,48.0
383,8,8,2024-01-02,Chicken Breast,Meat,5.0,40.0
384,3,6,2024-03-03,Bread,Bakery,1.5,9.0
385,1,3,2023-11-24,Milk,Dairy,3.5,10.5
386,20,1,2024-02-21,Pizza,Frozen Foods,6.0,6.0
387,16,4,2024-01-03,Tea,Beverages,4.0,16.0
388,5,2,2024-02-13,Apple,Produce,0.75,1.5
389,18,7,2024-05-17,Chocolate,Snacks,3.0,21.0
390,14,8,2023-11-28,Yogurt,Dairy,2.0,16.0
391,7,4,2024-01-02,Orange Juice,Beverages,3.0,12.0
392,13,2,2023-09-02,Cereal,Snacks,3.75,7.5
393,7,1,2023-08-31,Orange Juice,Beverages,3.0,3.0
394,4,1,2024-03-23,Butter,Dairy,4.0,4.0
395,15,2,2023-09-21,Coffee,Beverages,5.0,10.0
396,15,7,2024-04-14,Coffee,Beverages,5.0,35.0
397,6,5,2023-12-15,Banana,Produce,0.5,2.5
398,5,6,2023-11-10,Apple,Produce,0.75,4.5
399,8,1,2023-09-01,Chicken Breast,Meat,5.0,5.0
400,8,3,2024-03-14,Chicken Breast,Meat,5.0,15.0
401,3,7,2024-06-25,Bread,Bakery,1.5,10.5
402,1,9,2023-10-11,Milk,Dairy,3.5,31.5
403,13,3,2023-10-02,Cereal,Snacks,3.75,11.25
404,7,6,2024-07-01,Orange Juice,Beverages,3.0,18.0
405,19,1,2023-11-23,Ice Cream,Frozen Foods,4.5,4.5
406,7,5,2024-02-29,Orange Juice,Beverages,3.0,15.0
407,5,9,2024-08-13,Apple,Produce,0.75,6.75
408,6,7,2023-10-23,Banana,Produce,0.5,3.5
409,4,8,2024-02-28,Butter,Dairy,4.0,32.0
410,1,5,2024-06-30,Milk,Dairy,3.5,17.5
411,12,2,2023-12-15,Tomato,Produce,1.0,2.0
412,11,3,2024-03-09,Lettuce,Produce,1.25,3.75
413,1,4,2023-11-21,Milk,Dairy,3.5,14.0
414,10,8,2023-12-05,Salmon,Seafood,8.0,64.0
415,15,2,2024-01-08,Coffee,Beverages,5.0,10.0
416,13,3,2023-11-22,Cereal,Snacks,3.75,11.25
417,3,3,2024-06-30,Bread,Bakery,1.5,4.5
418,1,1,2023-09-19,Milk,Dairy,3.5,3.5
419,17,8,2024-01-06,Cookies,Snacks,2.5,20.0
420,13,4,2023-10-18,Cereal,Snacks,3.75,15.0
421,3,6,2024-05-16,Bread,Bakery,1.5,9.0
422,3,4,2024-01-29,Bread,Bakery,1.5,6.0
423,10,5,2023-11-03,Salmon,Seafood,8.0,40.0
424,15,6,2024-06-19,Coffee,Beverages,5.0,30.0
425,1,3,2024-06-11,Milk,Dairy,3.5,10.5
426,8,8,2023-11-02,Chicken Breast,Meat,5.0,40.0
427,10,5,2024-04-06,Salmon,Seafood,8.0,40.0
428,11,8,2023-11-25,Lettuce,Produce,1.25,10.0
429,7,2,2024-07-11,Orange Juice,Beverages,3.0,6.0
430,6,1,2024-08-09,Banana,Produce,0.5,0.5
431,7,4,2024-03-02,Orange Juice,Beverages,3.0,12.0
432,17,8,2023-08-26,Cookies,Snacks,2.5,20.0
433,16,9,2023-09-29,Tea,Beverages,4.0,36.0
434,19,6,2024-07-05,Ice Cream,Frozen Foods,4.5,27.0
435,4,1,2023-12-12,Butter,Dairy,4.0,4.0
436,13,4,2024-06-06,Cereal,Snacks,3.75,15.0
437,17,3,2024-03-19,Cookies,Snacks,2.5,7.5
438,1,5,2024-01-18,Milk,Dairy,3.5,17.5
439,6,9,2024-06-19,Banana,Produce,0.5,4.5
440,8,4,2023-11-22,Chicken Breast,Meat,5.0,20.0
441,12,1,2023-09-10,Tomato,Produce,1.0,1.0
442,1,6,2024-07-10,Milk,Dairy,3.5,21.0
443,14,8,2024-03-23,Yogurt,Dairy,2.0,16.0
444,2,4,2023-11-07,Eggs,Dairy,2.5,10.0
